chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr3	2892000	2894000	chr3	2916000	2918000	0,0,0	3.310838	1.0	1.8772068	0.8782634	1.5108616	2.1014514	0.50290495	2.8821301
chr3	3242000	3244000	chr3	3274000	3276000	0,0,0	5.5276246	1.0	2.7353978	1.591476	2.219706	2.4058452	0.6466371	3.8204904
chr3	410000	412000	chr3	438000	440000	0,0,0	4.817416	1.0	2.5177355	1.5835004	1.8566557	2.143121	0.75868595	3.550677
chr3	2640000	2642000	chr3	2670000	2672000	0,0,0	14.378494	1.0	4.993136	3.485594	4.669536	3.188914	1.5885	6.28722
chr3	5830000	5832000	chr3	5862000	5864000	0,0,0	3.6286838	1.0	1.9597632	1.3086004	1.3645316	1.6460706	0.5735132	2.809271
chr4	1204000	1206000	chr4	1238000	1240000	0,0,0	9.378848	1.0	3.8947594	2.474635	4.570847	4.157496	1.5843326	6.3571715
chr4	1748000	1750000	chr4	1780000	1782000	0,0,0	7.997905	1.0	4.1818385	1.7067257	1.9791988	2.2823505	0.80482274	3.7994401
chr4	1264000	1266000	chr4	1298000	1300000	0,0,0	10.136402	1.0	5.6657953	1.8469821	3.2129364	4.3606076	1.2723241	6.0023694
chr4	3874000	3876000	chr4	3902000	3904000	0,0,0	13.168475	1.0	3.407922	5.742343	6.168419	2.7009988	2.4004986	7.8053036
chr4	3110000	3112000	chr4	3138000	3140000	0,0,0	5.7807035	1.0	3.171377	1.5147927	2.1303165	2.7478795	0.7244771	4.094362
chr4	5076000	5078000	chr4	5130000	5132000	0,0,0	9.362865	1.0	4.407536	3.3682775	4.6583138	4.6755877	1.4996347	7.669612
chr4	2272000	2274000	chr4	2304000	2306000	0,0,0	6.721326	1.0	3.2686317	2.1188202	2.754608	2.8684196	0.9623618	4.7518153
chr1	4872000	4874000	chr1	4900000	4902000	0,0,0	6.319879	1.0	3.191666	2.053531	2.585093	2.8447065	0.7956151	4.6700673
chr1	2204000	2206000	chr1	2252000	2254000	0,0,0	12.476408	1.0	5.2876706	5.5169168	8.156877	7.220299	2.6853592	12.124225
chr1	626000	628000	chr1	660000	662000	0,0,0	6.3005977	1.0	2.9931638	2.993512	3.5065186	3.4390306	1.1893083	6.09993
chr1	1770000	1772000	chr1	1800000	1802000	0,0,0	13.217648	1.0	6.8770967	1.1944282	2.6435797	3.2620153	0.7481498	4.3237295
chr2	484000	486000	chr2	516000	518000	0,0,0	6.514333	1.0	4.0395665	1.3858315	1.5550278	2.5552008	0.9370777	3.787051
chr2	764000	766000	chr2	802000	804000	0,0,0	6.8741126	1.0	3.9630694	1.8502951	2.47277	3.490534	1.209043	5.135241
chr2	8308000	8310000	chr2	8368000	8370000	0,0,0	13.794765	1.0	5.481322	10.74137	13.472381	10.462937	6.773092	20.01082
chr2	6270000	6272000	chr2	6306000	6308000	0,0,0	6.4009295	0.9983836	3.6864002	2.283813	3.1176276	4.398162	1.0951687	6.428218
chr2	4926000	4928000	chr2	4960000	4962000	0,0,0	7.845681	1.0	4.1412907	1.3628459	1.5853556	1.861159	0.898169	3.0725777
