chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chr1	2034000	2036000	chr1	2062000	2064000	0,0,0	4.8011556	1.0	3.2515552	0.8244544	0.9728707	2.0136955	0.49390554	2.746544
chr1	3154000	3156000	chr1	3182000	3184000	0,0,0	5.7125177	1.0	3.3337297	1.0626178	1.9243827	2.8296568	0.4522974	3.774206
chr1	1236000	1238000	chr1	1272000	1274000	0,0,0	5.5822864	1.0	2.8532457	1.1891375	2.2417436	2.656085	0.6352922	3.713096
chr1	1768000	1770000	chr1	1800000	1802000	0,0,0	10.6432495	1.0	6.609378	1.4612999	1.9523194	3.2315853	0.8923896	4.5305185
chr1	1344000	1346000	chr1	1380000	1382000	0,0,0	7.1263313	1.0	3.0231292	2.5812764	3.8042812	3.3687127	1.127982	5.663181
chr1	1982000	1984000	chr1	1996000	1998000	0,0,0	3.7783136	1.0	2.7088273	0.5469669	0.7805223	1.896926	0.3947651	2.3831189
chr2	8308000	8310000	chr2	8368000	8370000	0,0,0	17.309198	1.0	5.8630285	16.429161	18.679338	11.424905	8.941171	26.028603
chr2	486000	488000	chr2	516000	518000	0,0,0	7.499479	1.0	4.717734	1.5494406	1.8117981	3.0855374	0.8510311	4.462818
chr2	2166000	2168000	chr2	2206000	2208000	0,0,0	6.940165	1.0	3.7349224	2.3070726	2.9144459	3.586527	1.0676662	5.6372585
chr2	6270000	6272000	chr2	6306000	6308000	0,0,0	11.821375	1.0	4.796725	4.3972087	6.6134615	5.582131	1.6708037	9.490761
chr2	454000	456000	chr2	488000	490000	0,0,0	13.5607605	1.0	6.3600907	2.4433687	3.80366	3.8851078	1.2794585	6.0569906
